id_compra,nome_pessoa,regiao
,João da Silva,Sul
,Ana Souza,Sudeste
,Felipe Lima,Centro-Oeste
74,Ana Souza,Nordeste
,João da Silva,Norte
14,Ana Souza,Nordeste
79,Ana Souza,Sul
62,Maria Oliveira,Sudeste
94,Ana Souza,Norte
,Felipe Lima,Centro-Oeste
,Carlos Santos,Nordeste
,Felipe Lima,Norte
66,João da Silva,Sudeste
42,Maria Oliveira,Centro-Oeste
64,Ana Souza,Sul
,Carlos Santos,Norte
46,João da Silva,Nordeste
90,Carlos Santos,Sul
50,Carlos Santos,Centro-Oeste
8,Felipe Lima,Norte
92,Maria Oliveira,Sudeste
,João da Silva,Nordeste
20,Carlos Santos,Sul
,Felipe Lima,Centro-Oeste
,João da Silva,Norte
12,Maria Oliveira,Sudeste
,Maria Oliveira,Nordeste
,Ana Souza,Sul
,Felipe Lima,Centro-Oeste
59,Ana Souza,Norte
34,Ana Souza,Sudeste
10,Carlos Santos,Nordeste
,João da Silva,Sul
72,Maria Oliveira,Centro-Oeste
84,Ana Souza,Norte
,Ana Souza,Sudeste
19,Ana Souza,Nordeste
100,Carlos Santos,Sul
,Maria Oliveira,Centro-Oeste
48,Felipe Lima,Norte
,Felipe Lima,Sudeste
,João da Silva,Nordeste
,Maria Oliveira,Sul
16,João da Silva,Centro-Oeste
,Felipe Lima,Norte
,João da Silva,Sudeste
80,Carlos Santos,Nordeste
,Ana Souza,Sul
,Carlos Santos,Centro-Oeste
3,Carlos Santos,Norte
36,João da Silva,Sudeste
44,Ana Souza,Nordeste
40,Carlos Santos,Sul
,Ana Souza,Centro-Oeste
,Felipe Lima,Norte
,Felipe Lima,Sudeste
30,Carlos Santos,Nordeste
,Carlos Santos,Sul
,Maria Oliveira,Centro-Oeste
,Maria Oliveira,Norte
,João da Silva,Sudeste
86,João da Silva,Nordeste
32,Maria Oliveira,Sul
68,Felipe Lima,Centro-Oeste
,Felipe Lima,Norte
,Carlos Santos,Sudeste
70,Carlos Santos,Nordeste
,Felipe Lima,Sul
,Carlos Santos,Centro-Oeste
,Ana Souza,Norte
82,Maria Oliveira,Sudeste
,João da Silva,Nordeste
60,Carlos Santos,Sul
5,João da Silva,Centro-Oeste
1,João da Silva,Norte
,Maria Oliveira,Sudeste
22,Maria Oliveira,Nordeste
,Carlos Santos,Sul
,Felipe Lima,Centro-Oeste
,Maria Oliveira,Norte
99,Ana Souza,Sudeste
39,Ana Souza,Norte
,Maria Oliveira,Sudeste
26,João da Silva,Nordeste
,João da Silva,Sul
96,João da Silva,Centro-Oeste
,Carlos Santos,Norte
,Carlos Santos,Sudeste
,Felipe Lima,Nordeste
,Maria Oliveira,Sul
52,Maria Oliveira,Centro-Oeste
,Felipe Lima,Norte
76,João da Silva,Sudeste
88,Felipe Lima,Nordeste
28,Felipe Lima,Sul
54,Ana Souza,Centro-Oeste
,Maria Oliveira,Norte
24,Ana Souza,Sudeste
,Maria Oliveira,Nordeste
56,João da Silva,Sul
